ID,Education
742,Graduate Professional
743,10th Pass
744,10th Pass
745,Others
746,Graduate Professional
747,Graduate
748,Post Graduate
749,10th Pass
750,Graduate
751,Literate
752,5th Pass
753,Literate
754,12th Pass
755,10th Pass
756,12th Pass
757,Graduate
758,8th Pass
759,10th Pass
760,Graduate Professional
761,Graduate
762,10th Pass
763,Literate
764,Graduate
765,Post Graduate
766,Post Graduate
767,10th Pass
768,Graduate Professional
769,Others
770,Literate
771,Post Graduate
772,Literate
773,5th Pass
774,Post Graduate
775,12th Pass
776,8th Pass
777,Doctorate
778,5th Pass
779,5th Pass
780,12th Pass
781,Literate
782,8th Pass
783,Graduate Professional
784,Literate
785,10th Pass
786,8th Pass
787,Post Graduate
788,Post Graduate
789,Graduate Professional
790,10th Pass
791,Graduate
792,10th Pass
793,Literate
794,8th Pass
795,Post Graduate
796,Doctorate
797,Doctorate
798,Post Graduate
799,Graduate
800,Post Graduate
801,Doctorate
802,12th Pass
803,Others
804,12th Pass
805,Post Graduate
806,Others
807,8th Pass
808,Doctorate
809,Others
810,Literate
811,12th Pass
812,Graduate Professional
813,Others
814,10th Pass
815,Graduate
816,Literate
817,8th Pass
818,Graduate Professional
819,Others
820,Graduate
821,Others
822,12th Pass
823,Others
824,Literate
825,Post Graduate
826,12th Pass
827,8th Pass
828,8th Pass
829,Others
830,Graduate
831,Post Graduate
832,5th Pass
833,Graduate
834,Doctorate
835,12th Pass
836,10th Pass
837,8th Pass
838,Others
839,Doctorate
840,10th Pass
841,Others
842,Others
843,Post Graduate
844,Graduate Professional
845,Doctorate
846,Literate
847,Graduate
848,Doctorate
849,8th Pass
850,Literate
851,10th Pass
852,12th Pass
853,Graduate
854,Others
855,Post Graduate
856,8th Pass
857,Others
858,Doctorate
859,Graduate Professional
860,10th Pass
861,Literate
862,8th Pass
863,Literate
864,10th Pass
865,Literate
866,Graduate
867,10th Pass
868,Graduate Professional
869,8th Pass
870,Literate
871,12th Pass
872,8th Pass
873,Others
874,12th Pass
875,Literate
876,10th Pass
877,12th Pass
878,Post Graduate
879,Graduate Professional
880,8th Pass
881,8th Pass
882,Literate
883,8th Pass
884,Literate
885,8th Pass
886,Graduate Professional
887,Literate
888,Literate
889,Literate
890,8th Pass
891,Post Graduate
892,Literate
893,12th Pass
894,Doctorate
895,Literate
896,Graduate Professional
897,Doctorate
898,Doctorate
899,8th Pass
900,Graduate
901,Doctorate
902,12th Pass
903,Literate
904,Doctorate
905,Graduate Professional
906,Graduate
907,Graduate Professional
908,8th Pass
909,Others
910,Others
911,8th Pass
912,5th Pass
913,5th Pass
914,10th Pass
915,Graduate Professional
916,Literate
917,Post Graduate
918,Graduate Professional
919,Doctorate
920,Graduate
921,Literate
922,Graduate Professional
923,12th Pass
924,Others
925,10th Pass
926,12th Pass
927,12th Pass
928,Literate
929,8th Pass
930,Doctorate
931,Doctorate
932,Doctorate
933,Graduate Professional
934,Graduate
935,Others
936,Graduate Professional
937,Graduate Professional
938,Others
939,8th Pass
940,Doctorate
941,Others
942,Doctorate
943,Graduate
944,Graduate Professional
945,8th Pass
946,Post Graduate
947,Literate
948,Literate
949,Graduate
950,Graduate Professional
951,8th Pass
952,Graduate
953,Graduate
954,10th Pass
955,Literate
956,12th Pass
957,Post Graduate
958,Graduate
959,Others
960,Graduate Professional
961,8th Pass
962,5th Pass
963,Graduate Professional
964,Graduate Professional
965,Literate
966,12th Pass
967,8th Pass
968,8th Pass
969,Graduate Professional
970,12th Pass
971,10th Pass
972,Graduate Professional
973,Graduate Professional
974,Others
975,Graduate Professional
976,Graduate
977,Graduate Professional
978,Doctorate
979,12th Pass
980,12th Pass
981,8th Pass
982,Others
983,8th Pass
984,10th Pass
985,Doctorate
986,Graduate Professional
987,Literate
988,Literate
989,Doctorate
990,Graduate Professional
991,10th Pass
992,Graduate
993,Graduate Professional
994,10th Pass
995,Graduate Professional
996,5th Pass
997,Literate
998,10th Pass
999,Post Graduate
1000,Literate
1001,Others
1002,Doctorate
1003,Post Graduate
1004,10th Pass
1005,Others
1006,8th Pass
1007,Post Graduate
1008,Graduate Professional
1009,10th Pass
1010,Doctorate
1011,10th Pass
1012,Literate
1013,Literate
1014,8th Pass
1015,8th Pass
1016,10th Pass
1017,Graduate Professional
1018,Graduate Professional
1019,8th Pass
1020,Doctorate
1021,12th Pass
1022,Doctorate
1023,Graduate Professional
1024,Graduate Professional
1025,Doctorate
1026,Graduate Professional
1027,Literate
1028,12th Pass
1029,12th Pass
1030,5th Pass
1031,Graduate Professional
1032,Others
1033,Literate
1034,8th Pass
1035,Literate
1036,Post Graduate
1037,Others
1038,8th Pass
1039,10th Pass
1040,Graduate Professional
1041,Doctorate
1042,8th Pass
1043,10th Pass
1044,Doctorate
1045,Graduate Professional
1046,8th Pass
1047,Graduate
1048,5th Pass
1049,Graduate
1050,Literate
1051,Graduate Professional
1052,Others
1053,Doctorate
1054,Literate
1055,Graduate Professional
1056,Post Graduate
1057,Doctorate
1058,5th Pass
1059,Graduate
1060,Post Graduate
1061,Graduate
1062,Graduate
1063,8th Pass
1064,Literate
1065,Post Graduate
1066,12th Pass
1067,12th Pass
1068,Graduate Professional
1069,8th Pass
1070,8th Pass
1071,Graduate Professional
1072,Graduate
1073,5th Pass
1074,8th Pass
1075,8th Pass
1076,Post Graduate
1077,12th Pass
1078,Graduate Professional
1079,Graduate Professional
1080,8th Pass
1081,Graduate Professional
1082,10th Pass
1083,Doctorate
1084,Graduate Professional
1085,8th Pass
1086,12th Pass
1087,Others
1088,Graduate Professional
1089,Graduate
1090,12th Pass
1091,10th Pass
1092,Doctorate
1093,10th Pass
1094,Literate
1095,Literate
1096,Post Graduate
1097,Literate
1098,Graduate Professional
1099,10th Pass
1100,8th Pass
1101,12th Pass
1102,8th Pass
1103,10th Pass
1104,Graduate Professional
1105,Others
1106,10th Pass
1107,Others
1108,10th Pass
1109,Graduate
1110,8th Pass
1111,5th Pass
1112,Doctorate
1113,5th Pass
1114,10th Pass
1115,Doctorate
1116,12th Pass
1117,10th Pass
1118,Doctorate
1119,Graduate Professional
1120,Literate
1121,Graduate Professional
1122,Others
1123,Post Graduate
1124,Graduate Professional
1125,Graduate Professional
1126,Doctorate
1127,8th Pass
1128,Post Graduate
1129,12th Pass
1130,10th Pass
1131,5th Pass
1132,Doctorate
1133,Graduate Professional
1134,Graduate Professional
1135,Graduate Professional
1136,Graduate
1137,12th Pass
1138,10th Pass
1139,Graduate
1140,8th Pass
1141,Doctorate
1142,Literate
1143,Literate
1144,Graduate
1145,Post Graduate
1146,Literate
1147,12th Pass
1148,Doctorate
1149,8th Pass
1150,Graduate Professional
1151,8th Pass
1152,Post Graduate
1153,Graduate
1154,Graduate Professional
1155,Doctorate
1156,Others
1157,5th Pass
1158,Graduate Professional
1159,Graduate Professional
1160,10th Pass
1161,8th Pass
1162,Doctorate
1163,Literate
1164,Post Graduate
1165,Graduate Professional
1166,Doctorate
1167,Others
1168,12th Pass
1169,Post Graduate
1170,12th Pass
1171,Graduate Professional
1172,12th Pass
1173,Graduate Professional
1174,10th Pass
1175,Literate
1176,Graduate
1177,Doctorate
1178,Doctorate
1179,10th Pass
1180,8th Pass
1181,Graduate
1182,12th Pass
1183,Graduate Professional
1184,Others
1185,Graduate Professional
1186,Doctorate
1187,Graduate Professional
1188,Others
1189,Graduate
1190,Graduate
1191,5th Pass
1192,8th Pass
1193,Graduate Professional
1194,Graduate Professional
1195,Post Graduate
1196,Graduate Professional
1197,Doctorate
1198,12th Pass
1199,8th Pass
1200,Graduate
1201,10th Pass
1202,Graduate Professional
1203,Post Graduate
1204,5th Pass
1205,Literate
1206,Others
1207,Post Graduate
1208,Literate
1209,Doctorate
1210,Others
1211,Graduate Professional
1212,8th Pass
1213,Literate
1214,8th Pass
1215,Graduate
1216,Others
1217,12th Pass
1218,Others
1219,Others
1220,Doctorate
1221,Literate
1222,Literate
1223,Graduate Professional
1224,12th Pass
1225,Graduate
1226,12th Pass
1227,Doctorate
1228,10th Pass
1229,Literate
1230,8th Pass
1231,10th Pass
1232,Others
1233,Doctorate
1234,8th Pass
1235,8th Pass
1236,Literate
1237,Others
1238,8th Pass
1239,Post Graduate
1240,Literate
1241,10th Pass
1242,Graduate
1243,Literate
1244,Graduate Professional
1245,Literate
1246,10th Pass
1247,Graduate Professional
1248,12th Pass
1249,Others
1250,Graduate
1251,5th Pass
1252,Literate
1253,10th Pass
1254,Others
1255,Others
1256,Others
1257,Others
1258,10th Pass
1259,Post Graduate
1260,Others
1261,Graduate
1262,Literate
1263,8th Pass
1264,10th Pass
1265,8th Pass
1266,8th Pass
1267,Literate
1268,Others
1269,Doctorate
1270,Others
1271,Graduate Professional
1272,Others
1273,Others
1274,Graduate Professional
1275,5th Pass
1276,Graduate
1277,12th Pass
1278,Graduate Professional
1279,Graduate Professional
1280,Doctorate
1281,Literate
1282,Others
1283,10th Pass
1284,Graduate
1285,Post Graduate
1286,Post Graduate
1287,Post Graduate
1288,10th Pass
1289,Doctorate
1290,Post Graduate
1291,Post Graduate
1292,Graduate
1293,Graduate Professional
1294,8th Pass
1295,Literate
1296,Literate
1297,Doctorate
1298,Graduate Professional
1299,Graduate Professional
1300,Graduate Professional
1301,Graduate
1302,12th Pass
1303,Doctorate
1304,5th Pass
1305,Others
1306,10th Pass
1307,10th Pass
1308,10th Pass
1309,Graduate Professional
1310,12th Pass
1311,Graduate Professional
1312,Doctorate
1313,Graduate Professional
1314,Graduate Professional
1315,Others
1316,Doctorate
1317,10th Pass
1318,Graduate
1319,Post Graduate
1320,Literate
1321,Doctorate
1322,Graduate Professional
1323,Doctorate
1324,Doctorate
1325,Graduate Professional
1326,Others
1327,Graduate
1328,Post Graduate
1329,Literate
1330,8th Pass
1331,Literate
1332,10th Pass
1333,10th Pass
1334,10th Pass
1335,10th Pass
1336,Post Graduate
1337,Graduate Professional
1338,Others
1339,Graduate
1340,10th Pass
1341,Doctorate
1342,12th Pass
1343,Doctorate
1344,Others
1345,Others
1346,5th Pass
1347,Doctorate
1348,Doctorate
1349,10th Pass
1350,Post Graduate
1351,Doctorate
1352,Graduate Professional
1353,Others
1354,Graduate
1355,10th Pass
1356,Graduate Professional
1357,Post Graduate
1358,8th Pass
1359,Literate
1360,8th Pass
1361,10th Pass
1362,Doctorate
1363,Doctorate
1364,Others
1365,Doctorate
1366,10th Pass
1367,12th Pass
1368,5th Pass
1369,5th Pass
1370,Graduate Professional
1371,12th Pass
1372,Doctorate
1373,Doctorate
